feature,score
total_sales,8172
merchant_coupon_transfer_rate,6598
total_coupon,6438
discount_rate,6258
coupon_rate,5746
days_distance,5604
merchant_mean_distance,5491
discount_man,4983
day_of_month,4726
sales_use_coupon,4451
this_month_user_receive_all_coupon_count,4185
distance,3776
discount_jian,3132
buy_total,2477
user_merchant_rate,2391
coupon_received,2018
this_month_user_receive_same_coupon_count,1808
user_merchant_buy_common,1706
user_merchant_buy_total,1588
this_month_user_receive_same_coupon_lastone,1531
this_day_user_receive_all_coupon_count,1457
count_merchant,1402
user_merchant_coupon_transfer_rate,1385
user_coupon_transfer_rate,1384
merchant_max_distance,1358
merchant_median_distance,1258
buy_use_coupon_rate,1247
avg_user_date_datereceived_gap,1180
user_merchant_any,1162
this_month_user_receive_same_coupon_firstone,1130
max_user_date_datereceived_gap,1029
user_merchant_coupon_buy_rate,875
user_merchant_received,821
min_user_date_datereceived_gap,802
buy_use_coupon,594
user_merchant_buy_use_coupon,487
weekday4,483
is_weekend,477
user_merchant_common_buy_rate,460
merchant_min_distance,383
weekday2,376
weekday5,368
weekday3,351
weekday1,323
weekday7,309
weekday6,302
user_mean_distance,284
user_min_distance,283
user_max_distance,250
this_day_user_receive_same_coupon_count,208
user_median_distance,190
is_man_jian,177
